row,SCHNAME,zipcode,area,zone,type,latitude,longitude,School,Rank2017,IB,IP,SAP,Girls,Boys,Co-ed,O-level track,PSLE2017 Cut Off,GenderMix
106,QUEENSWAY SECONDARY SCHOOL,149295,QUEENSTOWN,South,Government,1.3011,103.8021,Queensway Secondary School,74,N,N,N,N,N,Y,,212,CO-ED
117,WOODLANDS RING SECONDARY SCHOOL,738239,WOODLANDS,North,Government,1.4368,103.7999,Woodlands Ring Secondary School,74,N,N,N,N,N,Y,,212,CO-ED
73,BEATTY SECONDARY SCHOOL,318990,TOA PAYOH,South,Government,1.3424,103.8516,Beatty Secondary School,78,N,N,N,N,N,Y,,210,CO-ED
120,YUAN CHING SECONDARY SCHOOL,618654,JURONG WEST,West ,Government,1.3405,103.7198,Yuan Ching Secondary School,78,N,N,N,N,N,Y,,210,CO-ED
20,HILLGROVE SECONDARY SCHOOL,659250,BUKIT BATOK,West ,Government,1.3528,103.7535,Hillgrove Secondary School,80,N,N,N,N,N,Y,,209,CO-ED
82,COMPASSVALE SECONDARY SCHOOL,545083,SENG KANG,North,Government,1.3962,103.8995,Compassvale Secondary School,81,N,N,N,N,N,Y,,208,CO-ED
104,PEIRCE SECONDARY SCHOOL,575566,BISHAN,South,Government,1.3656,103.8306,Peirce Secondary School,81,N,N,N,N,N,Y,,208,CO-ED
51,ZHENGHUA SECONDARY SCHOOL,677741,BUKIT PANJANG,West ,Government,1.388,103.7647,Zhenghua Secondary School,81,N,N,N,N,N,Y,,208,CO-ED
29,NORTH VISTA SECONDARY SCHOOL,545081,SENG KANG,North,Government,1.3809,103.8995,North Vista Secondary School,84,N,N,N,N,N,Y,,206,CO-ED
101,ORCHID PARK SECONDARY SCHOOL,768454,YISHUN,North,Government,1.4149,103.8378,Orchid Park Secondary School,84,N,N,N,N,N,Y,,206,CO-ED
74,BEDOK SOUTH SECONDARY SCHOOL,468585,BEDOK,East ,Government,1.326,103.9504,Bedok South Secondary School,86,N,N,N,N,N,Y,,205,CO-ED
8,BUKIT VIEW SECONDARY SCHOOL,659633,BUKIT BATOK,West ,Government,1.3465,103.7527,Bukit View Secondary School,86,N,N,N,N,N,Y,,205,CO-ED
27,MERIDIAN SECONDARY SCHOOL,518901,PASIR RIS,East ,Government,1.3684,103.9491,Meridian Secondary School,88,N,N,N,N,N,Y,,204,CO-ED
45,WESTWOOD SECONDARY SCHOOL,648350,JURONG WEST,West ,Government,1.3542,103.7026,Westwood Secondary School,88,N,N,N,N,N,Y,,204,CO-ED
46,WOODGROVE SECONDARY SCHOOL,738990,WOODLANDS,North,Government,1.4289,103.7958,Woodgrove Secondary School,88,N,N,N,N,N,Y,,204,CO-ED
95,KENT RIDGE SECONDARY SCHOOL,127368,CLEMENTI,South,Government,1.3015,103.7658,Kent Ridge Secondary School,91,N,N,N,N,N,Y,,203,CO-ED
60,MONTFORT SECONDARY SCHOOL,538785,HOUGANG,North,Government-Aided,1.3749,103.8884,Montfort Secondary School,92,N,N,N,N,Y,N,,202,BOYS
89,GREENDALE SECONDARY SCHOOL,828866,PUNGGOL,North,Government,1.3966,103.9114,Greendale Secondary School,93,N,N,N,N,N,Y,,201,CO-ED
94,JURONGVILLE SECONDARY SCHOOL,609790,JURONG EAST,West ,Government,1.3512,103.7299,Jurongville Secondary School,93,N,N,N,N,N,Y,,201,CO-ED
126,CHRIST CHURCH SECONDARY SCHOOL,737924,WOODLANDS,North,Government-Aided,1.426,103.7931,Christ Church Secondary School,95,N,N,N,N,N,Y,,200,CO-ED
119,YISHUN SECONDARY SCHOOL,768516,YISHUN,North,Government,1.4272,103.8295,Yishun Secondary School,95,N,N,N,N,N,Y,,200,CO-ED
99,NEW TOWN SECONDARY SCHOOL,139657,QUEENSTOWN,West ,Government,1.309,103.7734,New Town Secondary School,97,N,N,N,N,N,Y,,199,CO-ED
111,TAMPINES SECONDARY SCHOOL,529427,TAMPINES,East ,Government,1.3489,103.9454,Tampines Secondary School,97,N,N,N,N,N,Y,,199,CO-ED
19,GREENRIDGE SECONDARY SCHOOL,679938,BUKIT PANJANG,West ,Government,1.3823,103.773,Greenridge Secondary School,99,N,N,N,N,N,Y,,197,CO-ED
23,JURONG WEST SECONDARY SCHOOL,648348,JURONG WEST,West ,Government,1.336,103.7016,Jurong West Secondary School,100,N,N,N,N,N,Y,,195,CO-ED
79,CANBERRA SECONDARY SCHOOL,757699,SEMBAWANG,North,Government,1.4535,103.8153,Canberra Secondary School,101,N,N,N,N,N,Y,,194,CO-ED
24,JUYING SECONDARY SCHOOL,649038,JURONG WEST,West ,Government,1.3396,103.6875,Juying Secondary School,101,N,N,N,N,N,Y,,194,CO-ED
108,SENG KANG SECONDARY SCHOOL,545090,SENG KANG,North,Government,1.3871,103.898,Seng Kang Secondary School,101,N,N,N,N,N,Y,,194,CO-ED
0,ADMIRALTY SECONDARY SCHOOL,737916,WOODLANDS,North,Government,1.4467,103.803,Admiralty Secondary School,104,N,N,N,N,N,Y,,193,CO-ED
28,NAVAL BASE SECONDARY SCHOOL,768689,YISHUN,North,Government,1.4187,103.8313,Naval Base Secondary School,104,N,N,N,N,N,Y,,193,CO-ED
113,TECK WHYE SECONDARY SCHOOL,688848,CHOA CHU KANG,West ,Government,1.3835,103.7548,Teck Whye Secondary School,106,N,N,N,N,N,Y,,192,CO-ED
36,REGENT SECONDARY SCHOOL,689621,CHOA CHU KANG,West ,Government,1.3925,103.75,Regent Secondary School,107,N,N,N,N,N,Y,,191,CO-ED
21,HOUGANG SECONDARY SCHOOL,534256,HOUGANG,North,Government,1.3779,103.8816,Hougang Secondary School,108,N,N,N,N,N,Y,,190,CO-ED
7,BUKIT MERAH SECONDARY SCHOOL,159050,BUKIT MERAH,South,Government,1.2867,103.8135,Bukit Merah Secondary School,109,N,N,N,N,N,Y,,189,CO-ED
90,GUANGYANG SECONDARY SCHOOL,579807,BISHAN,South,Government,1.3453,103.8508,Guangyang Secondary School,109,N,N,N,N,N,Y,,189,CO-ED
